elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
13109	62918	73197	1190015	22762
13069	60008	70324	1065276	22742
13107	60655	70868	952693	22700
13107	60705	70808	1046120	22566
12937	64685	75068	962513	22656
12986	60318	70701	1035804	22702
13063	60572	70758	1633220	22593
12973	63572	74008	2409624	22759
12977	61402	71948	962583	22863
13123	60571	70814	1074735	22742
12913	75824	86257	1011224	22676
13136	61385	71674	1012687	22789
13229	60441	70514	928193	22673
14219	61438	71941	1018590	24066
14256	65005	75455	2090543	24053
14219	60938	71211	1087102	23849
14233	60352	70392	1089303	23590
13070	62952	73155	1057643	22623
13157	60848	71158	949600	22840
14276	61805	72151	1040534	23985
14243	75415	86424	957643	24579
13140	62348	72585	1091062	22730
13046	60878	71048	2183567	22573
12967	61282	71392	1048427	22450
13223	60485	70802	959346	22896
13100	61302	71488	1041443	22643
13133	61855	72122	893241	22766
12850	61655	71675	1029124	22230
13083	60318	70568	939627	22726
13086	60605	70771	1542525	22633
7296	54888	62921	1652642	14989
13089	63764	73941	1063292	22636
13020	61538	71931	955773	22766
13079	61258	71764	1062129	22946
12963	63628	74091	976285	22786
13016	61132	71535	1053546	22759
13040	61622	71908	943773	22666
13050	61335	71671	1075959	22726
13057	63688	73958	969679	22686
13076	61058	71048	1664302	22424
13006	61318	71788	945566	22819
14253	64829	75058	1020944	23836
13063	73001	83681	1009654	23096
13020	60918	71145	1175889	22610
13036	60608	70911	1033157	22679
12992	62388	72311	1141513	22293
13066	61565	72041	976668	22910
12866	47345	57295	1635740	22219
13346	69308	79357	920300	22773
13180	61249	71888	961426	23199
13293	61155	72038	892297	23533
13276	60981	71381	954745	23059
13253	60455	70318	935129	22490
13090	63435	73341	957996	22383
14376	62962	73085	1423126	23846
13080	61688	71988	1664266	22743
13170	64342	74775	908601	22973
13297	61055	71718	964259	23316
13273	59785	69998	897297	22837
13239	60274	70507	967708	22825
13113	64035	74658	907827	23083
12997	61072	70995	963796	22283
13076	60368	70335	2120866	22396
13243	63752	74168	1241548	23039
13357	60575	70988	1086692	23133
13250	60172	70265	956816	22700
13310	58889	68922	941433	22669
13143	63215	73415	965556	22710
13159	60821	71154	906564	22848
13083	60525	70918	2240192	22833
13196	63915	74281	1103255	22903
13179	59518	69714	968688	22738
13329	60205	70381	894134	22862
13307	78412	91335	1047067	25400
12519	75484	85440	957982	21809
13143	61118	71441	943016	22829
14323	62278	72605	2085820	24006
14373	65155	75728	1002641	24272
